Permit Class Mapped,Original Zip,Original Address,Property Legal Description,Total Job Valuation,Total Existing Bldg SQFT,Project Name,Day Issued,Contractor Company Name,Contractor Zip
Residential,78703.0,3303 BONNIE RD,LOT 2 LESS E 6FT BLK 1 TOBIN  JOHNSON SUBD,8500.0,2000.0,3303 BONNIE RD,THURSDAY,Southwest B Constructors,78753
Residential,78703.0,1102 ENFIELD RD,S PT OF LOT 29 S105' OF E135'AV OF LOT 28 OLT 68 DIV Z ENFIELD A,10000.0,2400.0,1102   ENFIELD RD,THURSDAY,Jim Bennett Consulting,78748
Residential,78703.0,2710 CARLTON RD,LOT 3 RESUB OF LOT 10 MONTDALE,6371.0,1956.0,2710 CARLTON RD,FRIDAY,,78705
Residential,78757.0,7602 TISDALE DR,LOT 64 JEFFERSON VILLAGE,8200.0,2283.0,7602 TISDALE DR,FRIDAY,,78757
Residential,78731.0,5507 LEMONWOOD DR,LOT 70A LAKEWOOD VILLAGE AMENDED PLAT OF LOTS 7071 BLK F,0.0,0.0,5507 LEMONWOOD DR,FRIDAY,DAR Construction,78714-2028
Residential,78703.0,1711 WETHERSFIELD RD,LOT 21 ENFIELD F,1300.0,1933.0,1711 WETHERSFIELD RD,MONDAY,,78703
Residential,78731.0,4530 HIGHLAND TER,E 9947FT OF LOT 33 BLK A HIGHLAND PARK,3500.0,0.0,4530 HIGHLAND TER,MONDAY,Affordable Handyman Services,78715
Residential,78704.0,1511 GARNER AVE,LOT 8 BLK B BARTON HEIGHTS B,0.0,0.0,1511 GARNER AVE,TUESDAY,Emrobrai Homes,78758
Residential,78750.0,9815 ANDERSON MILL RD,S3537  Davis Acres Lot 2 ACRES 0445,500.0,171.0,9815 ANDERSON MILL RD,WEDNESDAY,Austin Habitat For Humanity,78702
Residential,78757.0,1905 PEQUENO ST,,4000.0,980.0,1905 PEQUENO ST,THURSDAY,"Cool River Custom Homes, Inc.",78680-1474
Residential,78731.0,4904 BALCONES DR,W18 FT OF LOT 28  E7970 FT OF LOT 29 BLK O HIGHLAND PARK WEST,20000.0,0.0,4904 BALCONES DR,FRIDAY,D & J Demolition,
Residential,78753.0,9208 GEORGIAN DR,LOT 5 BLK K LESS 474FT GEORGIAN ACRES,1000.0,782.0,9208   GEORGIAN DR,TUESDAY,,78753
Residential,78756.0,5411 MONTVIEW ST,S50FT OF LOT 11 BLK 2 SHOALMONT ADDN RESUB,5000.0,880.0,5411 MONTVIEW ST,MONDAY,DAR Construction,78714-2028
Residential,78703.0,2908 CHERRY LN,LOT 185 TARRY TOWN NO 3,800.0,400.0,2908 CHERRY LN,TUESDAY,Hart Builders,78716
Commercial,78701.0,507 SABINE ST,,160000.0,0.0,507 SABINE ST,WEDNESDAY,"Total Demolition, Inc.",78617
Residential,78751.0,5102 AVENUE H,LOT 34 BLK 48 HIGHLANDS THE,4000.0,720.0,5102 AVENUE H,TUESDAY,DAR Construction,78714-2028
Residential,78745.0,502 CLOVER CT,LOT 3 ALAMO HEIGHTS SEC 2,500.0,0.0,502 CLOVER CT,TUESDAY,,78702
Residential,78757.0,1207 JUSTIN LN,,5000.0,0.0,1207 JUSTIN LN,THURSDAY,DAR Construction,78714-2028
Residential,78757.0,1209 JUSTIN LN,,5000.0,0.0,1209 JUSTIN LN,THURSDAY,DAR Construction,78714-2028
Residential,78752.0,403 W CRESTLAND DR,LOT 11 BLK F NORTHWAY CREST SEC 2,5000.0,1000.0,403 W CRESTLAND DR,MONDAY,DAR Construction,78714-2028
Residential,78730.0,6601 WEST COURTYARD DR,LOT 9 BLK A SHEPHERD MOUNTAIN PHS 2,0.0,0.0,6601 WEST COURTYARD DR,TUESDAY,Absolute Demolition Inc. main***,78630
Residential,78702.0,2707 E 14TH ST,LOT 4 BLK 11 OLT 30 DIV B WESTLING ADDN,6000.0,1948.0,2707 E 14TH ST,TUESDAY,TJ Wendel & Associates Inc,78755
